Paleomag Scale
paleomag_scale_name	chron_name	chron_alias	chron_polarity_dir	chron_age_min_ma	chron_age_max_ma	chron_id	parent_chron_id
Grad04	C3n.3n	Sidufjall	N	4.799	4.896	25	20
Grad04	C3n.3r		R	4.896	4.997	26	20
Grad04	C3n.4n	Thvera	N	4.997	5.235	27	20
Grad04	C3r	Gilbert	R	5.235	6.033	28	20
Grad04	C3A			6.033	7.140	29	29
Grad04	C3An.1n		N	6.033	6.252	30	29
Grad04	C3An.1r		R	6.252	6.436	31	29
Grad04	C3An.2n		N	6.436	6.733	32	29
Grad04	C3Ar		R	6.733	7.140	33	29
Grad04	C3B			7.140	7.528	34	34
Grad04	C3Bn		N	7.140	7.212	35	34
Grad04	C3Br.1r		R	7.212	7.251	36	34
Grad04	C3Br.1n		N	7.251	7.285	37	34
Grad04	C3Br.2r		R	7.285	7.454	38	34
Grad04	C3Br.2n		N	7.454	7.489	39	34
Grad04	C3Br.3r		R	7.489	7.528	40	34
Grad04	C4			7.528	8.767	41	41
Grad04	C4n.1n		N	7.528	7.642	42	41
Grad04	C4n.1r		R	7.642	7.695	43	41
Grad04	C4n.2n		N	7.695	8.108	44	41
Grad04	C4r.1r		R	8.108	8.254	45	41
Grad04	C4r.1n		N	8.254	8.300	46	41
Grad04	C4r.2r		R	8.300	8.769	47	41
Grad04	C4r.2r-1		R	8.661	8.699	48	47
Grad04	C4A			8.769	9.779	49	49
Grad04	C4An		N	8.769	9.098	50	49
Grad04	C4Ar.1r		R	9.098	9.312	51	49
Grad04	C4Ar.1n		N	9.312	9.409	52	49
Grad04	C4Ar.2r		R	9.409	9.656	53	49
Grad04	C4Ar.2n		N	9.656	9.717	54	49
Grad04	C4Ar.3r		R	9.717	9.779	55	49
Grad04	C5			9.779	12.014	56	56
Grad04	C5n.1n		N	9.779	9.934	57	56
Grad04	C5n.1r		R	9.934	9.987	58	56
Grad04	C5n.2n		N	9.987	11.040	59	56
Grad04	C5r.1r		R	11.040	11.118	60	56
Grad04	C5r.1n		N	11.118	11.154	61	56
Grad04	C5r.2r		R	11.154	11.554	62	56
Grad04	C5r.2r-1		R	11.267	11.298	63	62
Grad04	C5r.2n		N	11.554	11.614	64	56
Grad04	C5r.3r		R	11.614	12.014	65	56
Grad04	C5A			12.014	13.015	66	66
Grad04	C5An.1n		N	12.014	12.116	67	66
Grad04	C5An.1r		R	12.116	12.207	68	66
Grad04	C5An.2n		N	12.207	12.415	69	66
Grad04	C5Ar.1r		R	12.415	12.730	70	66
Grad04	C5Ar.1n		N	12.730	12.765	71	66
Grad04	C5Ar.2r		R	12.765	12.820	72	66
Grad04	C5Ar.2n		N	12.820	12.878	73	66
Grad04	C5Ar.3r		R	12.878	13.015	74	66
Grad04	C5AA			13.015	13.369	75	75
Grad04	C5AAn		N	13.015	13.183	76	75
Grad04	C5AAr		R	13.183	13.369	77	75
Grad04	C5AB			13.369	13.734	78	78
Grad04	C5ABn		N	13.369	13.605	79	78
Grad04	C5ABr		R	13.605	13.734	80	78
Grad04	C5AC			13.734	14.194	81	81
Grad04	C5ACn		N	13.734	14.095	82	81
Grad04	C5ACr		R	14.095	14.194	83	81
Grad04	C5AD			14.194	14.784	84	84
Grad04	C5ADn		N	14.194	14.581	85	84
Grad04	C5ADr		R	14.581	14.784	86	84
Grad04	C5B			14.784	15.974	87	87
Grad04	C5Bn.1n		N	14.784	14.877	88	87
Grad04	C5Bn.1r		R	14.877	15.032	89	87
Grad04	C5Bn.2n		N	15.032	15.160	90	87
Grad04	C5Br		R	15.160	15.974	91	87
Grad04	C5C			15.974	17.235	92	92
Grad04	C5Cn.1n		N	15.974	16.268	93	92
Grad04	C5Cn.1r		R	16.268	16.303	94	92
Grad04	C5Cn.2n		N	16.303	16.472	95	92
Grad04	C5Cn.2r		R	16.472	16.543	96	92
Grad04	C5Cn.3n		N	16.543	16.721	97	92
Grad04	C5Cr		R	16.721	17.235	98	92
Grad04	C5D			17.235	18.056	99	99
Grad04	C5Dn		N	17.235	17.533	100	99
Grad04	C5Dr		R	17.533	17.717	101	99
Grad04	C5Dr.1n		N	17.717	17.740	102	99
Grad04	C5Dr.2r		R	17.740	18.056	103	99
Grad04	C5E			18.056	18.748	104	104
Grad04	C5En		N	18.056	18.524	105	104
Grad04	C5Er		R	18.524	18.748	106	104
Grad04	C6			18.748	20.040	107	107
Grad04	C6n		N	18.748	19.722	108	107
Grad04	C6r		R	19.722	20.040	109	107
Grad04	C6A			20.040	21.083	110	110
Grad04	C6An.1n		N	20.040	20.213	111	110
Grad04	C6An.1r		R	20.213	20.439	112	110
Grad04	C6An.2n		N	20.439	20.709	113	110
Grad04	C6Ar		R	20.709	21.083	114	110
Grad04	C6AA			21.083	21.767	115	115
Grad04	C6AAn		N	21.083	21.159	116	115
Grad04	C6AAr.1r		R	21.159	21.403	117	115
Grad04	C6AAr.1n		N	21.403	21.483	118	115
Grad04	C6AAr.2r		R	21.483	21.659	119	115
Grad04	C6AAr.2n		N	21.659	21.688	120	115
Grad04	C6AAr.3r		R	21.688	21.767	121	115
Grad04	C6B			21.767	22.487	122	122
Grad04	C6Bn.1n		N	21.767	21.936	123	122
Grad04	C6Bn.1r		R	21.936	21.992	124	122
Grad04	C6Bn.2n		N	21.992	22.268	125	122
Grad04	C6Br		R	22.268	22.487	126	122
Grad04	C6C			22.487	24.044	127	127
Grad04	C6Cn.1n		N	22.564	22.754	128	127
